#name, A, B
NODE_0000071, 0.008640251003940605, 0.9913597489960594
NODE_0000072, 0.019530906531109067, 0.9804690934688909
seq_406, 0.0, 1.0
seq_408, 0.0, 1.0
NODE_0000073, 0.011802472858485576, 0.9881975271415144
seq_426, 0.0, 0.9999999999999999
NODE_0000074, 0.0025398048527793243, 0.9974601951472206
seq_211, 0.0, 0.9999999999999999
seq_427, 0.0, 1.0
NODE_0000075, 0.00499906676346904, 0.9950009332365309
seq_407, 0.0, 0.9999999999999999
NODE_0000076, 0.006134277181803834, 0.9938657228181962
seq_411, 0.0, 1.0
NODE_0000077, 0.018918654709015707, 0.9810813452909843
seq_410, 0.0, 1.0
seq_412, 0.0, 1.0
NODE_0000078, 0.015986757085572983, 0.984013242914427
seq_466, 0.0, 1.0
NODE_0000079, 0.014397712421504167, 0.9856022875784959
seq_329, 0.0, 0.9999999999999999
NODE_0000080, 0.017289861425519384, 0.9827101385744805
seq_382, 0.0, 1.0
NODE_0000081, 0.06298461303255058, 0.9370153869674495
NODE_0000082, 0.9999999939773098, 6.0226902237536494e-09
seq_753, 0.9999999999999999, 0.0
seq_755, 0.9999999999999999, 0.0
NODE_0000083, 0.00014170168447921765, 0.9998582983155208
seq_489, 0.0, 1.0
NODE_0000084, 2.3925705455722307e-05, 0.9999760742945443
seq_469, 0.0, 1.0
seq_487, 0.0, 1.0
NODE_0000085, 1.7323805408525504e-05, 0.9999826761945915
seq_488, 0.0, 1.0
seq_504, 0.0, 0.9999999999999999
NODE_0000086, 0.008767322948976966, 0.991232677051023
seq_006, 0.0, 1.0
NODE_0000087, 0.004065923980216168, 0.9959340760197838
NODE_0000088, 0.0063321057753952205, 0.9936678942246048
NODE_0000089, 0.004869492735513498, 0.9951305072644865
seq_388, 0.0, 1.0
NODE_0000090, 0.003961256362445289, 0.9960387436375547
seq_060, 0.0, 1.0
seq_396, 0.0, 0.9999999999999999
NODE_0000091, 0.007288241098814799, 0.9927117589011852
NODE_0000092, 0.006077283034159731, 0.9939227169658402
seq_009, 0.0, 1.0
seq_063, 0.0, 1.0
NODE_0000093, 0.24137647846728438, 0.7586235215327157
seq_083, 0.0, 1.0
NODE_0000094, 0.4978837543110556, 0.5021162456889443
seq_174, 0.0, 1.0
NODE_0000095, 0.5331582295861084, 0.4668417704138916
seq_723, 1.0, 0.0
NODE_0000096, 0.06232867447376439, 0.9376713255262354
seq_370, 0.0, 1.0
seq_430, 0.0, 1.0
NODE_0000097, 0.8444315253707501, 0.1555684746292498
seq_341, 0.0, 1.0
NODE_0000098, 0.9735876986861384, 0.02641230131386162
NODE_0000099, 0.9749562878100368, 0.02504371218996301
seq_356, 0.0, 1.0
seq_722, 1.0, 0.0
NODE_0000100, 0.9999933488842305, 6.6511157694914295e-06
seq_706, 1.0, 0.0
NODE_0000101, 0.9999999999965576, 3.4424259645785365e-12
seq_716, 1.0, 0.0
seq_704, 1.0, 0.0
NODE_0000102, 0.0032603678543227776, 0.9967396321456772
seq_011, 0.0, 1.0
NODE_0000103, 0.003419814689523856, 0.9965801853104761
NODE_0000104, 0.006217342867733536, 0.9937826571322665
seq_002, 0.0, 0.9999999999999999
seq_064, 0.0, 0.9999999999999999
NODE_0000105, 0.005556670444718726, 0.9944433295552814
seq_172, 0.0, 1.0
NODE_0000106, 0.004693895006546674, 0.9953061049934534
NODE_0000107, 0.006506010783111644, 0.9934939892168884
seq_110, 0.0, 1.0
seq_245, 0.0, 0.9999999999999999
NODE_0000108, 0.003965316862291461, 0.9960346831377086
seq_254, 0.0, 1.0
NODE_0000109, 0.00014401198754664972, 0.9998559880124532
NODE_0000110, 0.00567923207753749, 0.9943207679224626
seq_111, 0.0, 1.0
seq_261, 0.0, 1.0
NODE_0000111, 0.035274225001423465, 0.9647257749985767
seq_263, 0.0, 0.9999999999999999
NODE_0000112, 0.4990496469723491, 0.5009503530276509
seq_697, 1.0, 0.0
NODE_0000113, 0.42341027231398504, 0.5765897276860148
seq_246, 0.0, 1.0
seq_506, 0.0, 1.0
NODE_0000114, 6.81904078635734e-05, 0.9999318095921365
seq_062, 0.0, 1.0
NODE_0000115, 0.0010473140649922793, 0.9989526859350077
seq_201, 0.0, 1.0
NODE_0000116, 0.0031770585977735823, 0.9968229414022264
seq_317, 0.0, 1.0
NODE_0000117, 0.004338593131909552, 0.9956614068680903
seq_272, 0.0, 1.0
seq_398, 0.0, 1.0
NODE_0000118, 0.0013124497148223554, 0.9986875502851776
seq_358, 0.0, 1.0
NODE_0000119, 0.002093921229886872, 0.9979060787701131
seq_399, 0.0, 1.0
NODE_0000120, 0.007428033978677163, 0.992571966021323
seq_320, 0.0, 1.0
NODE_0000121, 0.00756880126275708, 0.9924311987372431
seq_121, 0.0, 1.0
seq_359, 0.0, 1.0
NODE_0000122, 2.690370198251205e-06, 0.9999973096298017
seq_256, 0.0, 1.0
NODE_0000123, 0.013439172707926978, 0.9865608272920731
seq_247, 0.0, 1.0
seq_578, 0.0, 0.9999999999999999
NODE_0000124, 1.2872565034244222e-06, 0.9999987127434966
seq_061, 0.0, 1.0
seq_498, 0.0, 1.0
NODE_0000125, 9.965954120126034e-05, 0.9999003404587987
NODE_0000126, 0.004422471963168866, 0.9955775280368311
seq_267, 0.0, 1.0
NODE_0000127, 0.014720883239349634, 0.9852791167606504
seq_507, 0.0, 1.0
NODE_0000128, 0.004162357384493931, 0.9958376426155061
seq_262, 0.0, 1.0
seq_492, 0.0, 1.0
NODE_0000129, 0.00038981622411750664, 0.9996101837758825
