#node	date	numeric date
NODE_0000246	1988-01-30	1988.080603
NODE_0000247	1993-11-04	1993.842824
NODE_0000248	1995-01-14	1995.036264
NODE_0000249	1996-02-07	1996.102661
seq_024	1999-01-01	1999.001370
seq_247	2001-04-09	2001.269863
NODE_0000250	2005-02-17	2005.131039
seq_507	2012-06-22	2012.474044
NODE_0000251	2007-11-16	2007.875809
seq_383	2014-11-04	2014.842466
seq_406	2013-01-14	2013.036986
NODE_0000252	2001-02-06	2001.099104
seq_497	2020-01-12	2020.031421
NODE_0000253	2003-01-19	2003.051613
seq_105	2009-09-21	2009.721918
NODE_0000315	2007-06-18	2007.462053
seq_092	2009-08-06	2009.595890
NODE_0000256	2009-02-23	2009.145239
seq_094	2009-11-01	2009.834247
seq_096	2009-11-01	2009.834247
NODE_0000257	2003-04-25	2003.312903
NODE_0000324	2005-11-12	2005.864544
seq_337	2013-10-18	2013.795890
NODE_0000325	2014-09-19	2014.715639
seq_134	2021-03-14	2021.198630
seq_475	2020-12-01	2020.916667
NODE_0000350	2004-03-26	2004.233703
seq_473	2020-06-30	2020.495902
NODE_0000352	2005-05-07	2005.347588
seq_459	2020-11-19	2020.883880
NODE_0000353	2008-03-31	2008.247306
seq_495	2020-12-14	2020.952186
seq_505	2022-11-28	2022.908219
NODE_0000354	2007-06-16	2007.456788
seq_512	2020-11-28	2020.908470
NODE_0000355	2016-08-12	2016.613792
seq_403	2017-10-17	2017.793151
seq_388	2017-04-25	2017.313699
seq_444	2018-01-16	2018.042466
NODE_0000334	2003-11-20	2003.885930
NODE_0000335	2005-05-18	2005.377028
seq_133	2021-02-16	2021.127397
seq_447	2018-09-20	2018.719178
NODE_0000336	2004-09-22	2004.726528
seq_107	2009-10-09	2009.771233
NODE_0000337	2006-03-20	2006.214202
seq_110	2013-01-29	2013.078082
NODE_0000338	2006-10-26	2006.818359
seq_114	2014-09-06	2014.680822
NODE_0000339	2007-11-18	2007.879483
seq_128	2020-01-06	2020.015027
NODE_0000340	2009-06-08	2009.433447
seq_125	2019-02-09	2019.108219
NODE_0000341	2011-05-05	2011.342269
seq_124	2019-03-09	2019.184932
NODE_0000342	2013-06-15	2013.452569
seq_146	2022-12-28	2022.990411
NODE_0000343	2018-03-22	2018.221284
seq_147	2023-01-17	2023.045205
seq_148	2023-01-18	2023.047945
NODE_0000303	2003-12-12	2003.945648
NODE_0000304	2007-08-31	2007.663556
seq_479	2019-03-01	2019.163014
NODE_0000305	2009-04-10	2009.272967
seq_122	2017-09-01	2017.667123
NODE_0000306	2010-06-03	2010.420771
seq_123	2018-02-25	2018.152055
seq_142	2022-07-30	2022.576712
NODE_0000307	2004-07-22	2004.554949
seq_285	2010-11-17	2010.878082
NODE_0000308	2008-04-30	2008.329986
seq_502	2022-02-23	2022.146575
NODE_0000309	2008-12-08	2008.936446
seq_458	2020-11-04	2020.842896
NODE_0000310	2011-06-08	2011.433602
seq_498	2021-11-11	2021.861644
NODE_0000311	2012-01-18	2012.047059
seq_457	2020-04-30	2020.329235
seq_504	2022-08-11	2022.609589
NODE_0000313	2016-08-22	2016.639412
seq_400	2017-05-05	2017.341096
NODE_0000314	2017-10-25	2017.815154
seq_446	2019-01-11	2019.028767
seq_448	2018-12-20	2018.968493
NODE_0000263	2003-12-22	2003.973023
NODE_0000264	2006-07-03	2006.501914
NODE_0000345	2007-02-09	2007.109156
seq_385	2012-10-23	2012.810109
NODE_0000346	2007-07-11	2007.525565
NODE_0000347	2009-09-14	2009.703557
seq_352	2015-05-28	2015.404110
seq_501	2022-06-30	2022.494521
NODE_0000348	2012-10-05	2012.762201
seq_494	2020-08-11	2020.610656
seq_496	2020-09-15	2020.706284
NODE_0000271	2006-07-03	2006.501914
seq_288	2010-09-01	2010.667123
NODE_0000272	2007-01-11	2007.027474
NODE_0000327	2007-09-06	2007.681234
NODE_0000330	2009-05-25	2009.394709
seq_445	2018-11-21	2018.889041
seq_493	2021-09-21	2021.721918
NODE_0000279	2007-09-06	2007.681234
seq_268	2010-11-23	2010.894521
NODE_0000329	2011-04-28	2011.322034
seq_304	2011-08-25	2011.647945
seq_306	2011-10-26	2011.817808
NODE_0000356	2007-01-11	2007.027474
seq_287	2011-02-21	2011.141096
NODE_0000368	2007-01-11	2007.027474
seq_249	2009-11-14	2009.869863
NODE_0000372	2008-03-04	2008.174646
seq_130	2020-04-14	2020.285519
NODE_0000375	2008-05-30	2008.411333
seq_084	2009-08-10	2009.606849
NODE_0000377	2008-07-01	2008.499425
seq_106	2009-09-11	2009.694521
NODE_0000380	2008-09-01	2008.669005
seq_098	2009-11-12	2009.864384
NODE_0000384	2009-01-28	2009.075580
seq_097	2009-09-03	2009.672603
NODE_0000390	2009-04-25	2009.313699
seq_080	2009-04-25	2009.313699
NODE_0000396	2009-05-30	2009.410292
NODE_0000398	2009-06-01	2009.415068
seq_091	2009-06-01	2009.415068
seq_090	2009-06-01	2009.415068
NODE_0000399	2009-06-02	2009.417808
seq_087	2009-06-02	2009.417808
NODE_0000406	2009-06-29	2009.491781
seq_085	2009-06-29	2009.491781
NODE_0000407	2009-08-29	2009.658904
seq_095	2009-12-18	2009.963014
seq_086	2009-08-29	2009.658904
NODE_0000259	2004-07-27	2004.570046
NODE_0000260	2014-05-10	2014.353425
