#node	date	numeric date
NODE_0000153	2005-06-24	2005.477667
seq_244	2011-02-01	2011.086301
NODE_0000154	2007-12-24	2007.978589
seq_379	2017-09-11	2017.694521
seq_390	2015-09-15	2015.705479
NODE_0000155	2005-06-02	2005.418782
seq_555	2012-02-09	2012.107923
NODE_0000156	2007-02-15	2007.125352
seq_395	2017-08-30	2017.661644
NODE_0000157	2008-03-01	2008.164968
NODE_0000158	2009-11-20	2009.886825
seq_377	2016-10-12	2016.780055
NODE_0000159	2011-03-06	2011.175678
seq_258	2011-07-01	2011.497260
seq_259	2011-06-14	2011.450685
NODE_0000160	2008-08-22	2008.640530
seq_374	2017-05-24	2017.393151
NODE_0000161	2008-11-29	2008.910380
seq_378	2017-12-15	2017.954795
NODE_0000162	2009-03-28	2009.236717
seq_257	2011-04-21	2011.302740
seq_375	2017-05-22	2017.387671
NODE_0000170	2003-11-19	2003.884574
seq_381	2015-04-29	2015.324658
NODE_0000171	2004-04-29	2004.326242
seq_066	2006-01-01	2006.001370
NODE_0000172	2007-01-01	2007.001370
seq_065	2007-01-01	2007.001370
NODE_0000173	2007-04-20	2007.300289
NODE_0000175	2007-08-24	2007.645808
seq_204	2008-09-05	2008.678962
seq_265	2012-07-31	2012.580601
NODE_0000187	2010-06-06	2010.428794
seq_508	2019-04-17	2019.291781
NODE_0000188	2014-11-29	2014.909957
NODE_0000189	2015-06-12	2015.445832
seq_495	2019-03-11	2019.190411
seq_503	2019-12-04	2019.924658
NODE_0000190	2018-10-04	2018.757733
seq_767	2022-10-17	2022.793151
NODE_0000191	2018-12-28	2018.991431
seq_502	2019-11-20	2019.886301
seq_494	2020-05-12	2020.362022
seq_501	2020-02-21	2020.140710
NODE_0000193	2007-10-07	2007.764950
seq_264	2011-10-12	2011.779452
NODE_0000194	2012-12-24	2012.980822
seq_393	2017-12-19	2017.965753
seq_391	2016-06-13	2016.449454
NODE_0000196	2013-06-09	2013.437264
seq_392	2015-08-27	2015.653425
NODE_0000197	2013-08-31	2013.663434
NODE_0000198	2017-01-01	2017.001370
seq_325	2017-01-01	2017.001370
seq_326	2017-01-01	2017.001370
NODE_0000199	2014-02-28	2014.160508
seq_526	2020-04-02	2020.252732
seq_745	2020-06-10	2020.441257
NODE_0000176	2009-06-29	2009.491567
seq_486	2020-08-11	2020.610656
NODE_0000177	2014-08-28	2014.656741
NODE_0000178	2016-01-25	2016.066352
seq_434	2017-03-13	2017.195890
seq_438	2017-12-12	2017.946575
NODE_0000179	2014-12-13	2014.949564
NODE_0000180	2015-05-31	2015.412131
seq_750	2021-04-19	2021.297260
NODE_0000181	2019-07-14	2019.534138
seq_743	2019-09-24	2019.730137
seq_766	2022-10-01	2022.749315
NODE_0000182	2017-05-07	2017.346297
seq_439	2017-11-25	2017.900000
seq_524	2020-09-23	2020.728142
seq_747	2020-09-09	2020.689891
NODE_0000204	2017-12-14	2017.952055
seq_437	2017-12-14	2017.952055
seq_436	2017-12-28	2017.990411
NODE_0000236	1913-04-16	1913.289404
NODE_0000237	1917-07-17	1917.541270
seq_608	1918-01-01	1918.001370
NODE_0000238	1927-03-31	1927.244267
NODE_0000239	1928-05-22	1928.390159
NODE_0000240	1934-07-01	1934.495999
seq_651	1934-12-31	1934.998630
seq_654	1946-01-01	1946.001370
NODE_0000241	1931-02-03	1931.091031
NODE_0000242	1934-10-02	1934.751034
seq_093	1934-12-31	1934.998630
seq_133	1939-01-09	1939.023288
NODE_0000243	1932-05-23	1932.391569
NODE_0000245	1932-12-31	1932.998634
seq_652	1932-12-31	1932.998634
seq_656	1933-01-10	1933.026027
NODE_0000219	1932-12-31	1932.998634
seq_653	1932-12-31	1932.998634
seq_132	1937-12-31	1937.998630
NODE_0000246	1927-08-07	1927.597753
NODE_0000247	1933-12-31	1933.998630
seq_617	1933-12-31	1933.998630
seq_637	1933-12-31	1933.998630
NODE_0000248	1937-12-26	1937.986005
seq_650	1942-01-01	1942.001370
NODE_0000249	1942-09-16	1942.707268
seq_618	1947-01-01	1947.001370
NODE_0000250	1947-08-26	1947.651797
NODE_0000251	--	--
NODE_0000252	--	--
seq_615	--	--
seq_616	--	--
NODE_0000253	--	--
seq_619	--	--
NODE_0000254	--	--
NODE_0000255	--	--
seq_595	--	--
seq_644	--	--
NODE_0000256	--	--
NODE_0000257	--	--
seq_031	--	--
seq_100	--	--
NODE_0000258	--	--
NODE_0000259	--	--
seq_610	--	--
seq_732	--	--
NODE_0000260	--	--
seq_587	--	--
NODE_0000261	--	--
seq_588	--	--
NODE_0000262	--	--
seq_155	--	--
NODE_0000263	--	--
NODE_0000264	--	--
seq_620	--	--
seq_647	--	--
NODE_0000265	--	--
seq_625	--	--
NODE_0000266	--	--
seq_664	--	--
seq_665	--	--
NODE_0000267	1963-02-17	1963.131154
NODE_0000268	1967-03-03	1967.167605
seq_599	1968-01-01	1968.001366
NODE_0000275	1967-10-07	1967.764623
seq_597	1968-01-01	1968.001366
seq_630	1968-01-01	1968.001366
NODE_0000269	1968-01-01	1968.001366
seq_598	1968-01-01	1968.001366
NODE_0000272	1968-06-17	1968.459792
seq_629	1969-01-01	1969.001370
seq_631	1969-01-01	1969.001370
NODE_0000273	1967-06-18	1967.461142
NODE_0000244	1968-01-01	1968.001366
seq_367	1969-01-01	1969.001370
seq_590	1968-01-01	1968.001366
NODE_0000270	1967-09-24	1967.731172
seq_593	1968-01-01	1968.001366
NODE_0000271	1968-01-01	1968.001366
seq_097	1976-01-01	1976.001366
seq_591	1968-01-01	1968.001366
seq_592	1968-01-01	1968.001366
NODE_0000279	1966-05-14	1966.365924
seq_596	1967-01-01	1967.001370
NODE_0000280	1968-01-05	1968.010956
NODE_0000281	1969-02-03	1969.090716
seq_600	1970-01-01	1970.000000
NODE_0000282	1969-06-04	1969.424326
NODE_0000283	--	--
seq_362	--	--
seq_432	--	--
NODE_0000284	1969-08-24	1969.644585
seq_601	1970-01-01	1970.000000
seq_603	1971-01-01	1971.001370
NODE_0000285	1970-08-25	1970.648381
NODE_0000286	1970-10-12	1970.778613
seq_602	1971-01-01	1971.001370
NODE_0000287	1973-03-18	1973.210352
seq_153	1981-01-01	1981.001370
seq_183	1987-01-01	1987.001370
NODE_0000289	1971-04-20	1971.300983
seq_154	1977-01-01	1977.001370
seq_607	1972-01-01	1972.001366
NODE_0000290	1971-08-26	1971.649487
seq_606	1972-01-01	1972.001366
NODE_0000291	1971-11-08	1971.853761
seq_604	1972-01-01	1972.001366
seq_605	1972-01-01	1972.001366
NODE_0000293	1972-12-15	1972.953585
NODE_0000294	1974-02-13	1974.118537
seq_586	1975-01-01	1975.001370
NODE_0000295	1976-01-16	1976.041716
seq_004	1977-01-01	1977.001370
seq_113	--	--
NODE_0000297	1976-03-05	1976.175199
seq_020	1977-01-01	1977.001370
seq_099	--	--
NODE_0000298	1974-08-28	1974.655155
seq_003	1980-01-01	1980.001366
NODE_0000299	1977-04-25	1977.313035
seq_092	1983-01-01	1983.001370
NODE_0000300	1979-01-09	1979.024378
seq_772	1984-01-01	1984.000000
NODE_0000301	1981-11-16	1981.876233
seq_612	1983-01-01	1983.001370
NODE_0000296	1983-02-19	1983.135131
NODE_0000303	1985-01-01	1985.001370
seq_626	1986-01-01	1986.001370
seq_627	1985-01-01	1985.001370
NODE_0000304	1984-04-09	1984.271847
seq_613	1985-01-01	1985.001370
NODE_0000305	1988-01-01	1988.001366
seq_624	1988-01-01	1988.001366
NODE_0000306	1989-08-27	1989.653967
NODE_0000307	1993-08-29	1993.658884
seq_581	1995-01-01	1995.001370
seq_584	1995-01-01	1995.001370
NODE_0000308	1995-01-14	1995.038278
seq_623	1995-12-18	1995.963014
NODE_0000309	1995-04-05	1995.259236
seq_019	1997-01-01	1997.001370
NODE_0000311	1995-09-18	1995.714541
seq_022	1997-01-01	1997.001370
NODE_0000312	1996-01-25	1996.067376
seq_021	1997-01-01	1997.001370
seq_023	1997-01-01	1997.001370
NODE_0000313	1995-08-05	1995.593543
NODE_0000314	1996-08-28	1996.656944
seq_582	1998-01-01	1998.001370
NODE_0000315	2000-06-26	2000.484336
seq_628	2002-08-26	2002.650685
NODE_0000316	2001-04-05	2001.257704
seq_166	2008-11-01	2008.834699
seq_216	2009-09-24	2009.730137
NODE_0000317	1997-03-11	1997.191128
seq_008	1999-01-01	1999.001370
NODE_0000318	1997-04-26	1997.316270
seq_585	2002-01-01	2002.001370
seq_583	1998-01-01	1998.001370
NODE_0000320	2001-08-29	2001.658556
seq_634	2003-01-01	2003.001370
NODE_0000321	2003-07-08	2003.517490
seq_609	2003-11-29	2003.910959
NODE_0000322	2003-12-18	2003.962274
seq_203	2004-03-03	2004.170765
NODE_0000323	2004-02-16	2004.128142
seq_614	2004-12-10	2004.941257
NODE_0000325	2004-03-07	2004.180613
seq_621	2004-09-10	2004.692623
NODE_0000326	2005-02-16	2005.127722
seq_611	2005-07-01	2005.497260
